onth	Pb	Cd	Fe	Cu	Zn	pH	Temp.	Turb.	TSS	Cond.	TDS
April Aug. Dec. Feb. Jan. July June Mar Mar. May Nemerow’s\ pollution\ index\ (NPI)\ for\ Fen\ 1 Nemerow’s\ pollution\ index\ (NPI)\ for\ Fen\ 2 Nemerow’s\ pollution\ index\ (NPI)\ for\ Fen\ 3 Nemerow’s\ pollution\ index\ (NPI)\ for\ point\ A Nemerow’s\ pollution\ index\ (NPI)\ for\ point\ B Nemerow’s\ pollution\ index\ (NPI)\ for\ point\ C Nov. Oct. Sept. WQI	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
											
Nemerow’s pollution index (NPI) for Fen 1											
Jan.	33.10	110.33	7.57	0.06	0.18	1.08	1.18	2.60	5.99	1.20	6.03
Feb.	15.50	51.66	8.22	0.06	0.17	1.06	1.17	2.51	6.07	1.10	6.42
Mar.	0.00	0.00	6.66	0.01	0.09	1.08	1.19	2.68	6.10	1.30	5.12
April	12.30	41.00	6.76	0.03	0.16	0.98	1.19	2.84	5.85	1.21	6.63
May	81.10	270.33	6.02	0.04	0.17	1.12	1.18	2.37	4.27	1.30	6.34
June	34.10	113.66	6.50	0.04	0.17	1.06	1.19	2.80	4.08	1.31	6.42
July	1.20	4.00	6.60	0.04	0.12	1.00	1.17	2.24	4.36	1.20	6.61
Aug.	2.10	7.00	6.07	0.04	0.17	0.98	1.20	2.12	4.23	1.20	6.58
Sept.	1.10	3.66	5.52	0.07	0.18	1.07	1.18	1.97	4.14	1.28	6.41
Oct.	2.20	7.33	6.01	0.03	0.16	1.11	1.20	2.51	4.02	1.24	6.40
Nov.	31.20	104.00	5.61	0.06	0.18	1.07	1.19	2.33	4.62	1.26	6.40
Dec.	16.50	55.00	6.09	0.07	0.18	1.06	1.18	2.19	4.24	1.22	6.62
WQI	23.70										
Nemerow’s pollution index (NPI) for Fen 2											
Jan.	87.60	5.33	7.05	0.01	0.18	1.03	1.19	2.68	5.85	1.25	6.03
Feb.	103.30	10.33	5.82	0.06	0.20	1.20	1.18	2.81	6.10	1.30	6.42
Mar.	102.10	4.00	6.04	0.07	0.20	1.06	1.21	3.08	6.10	1.28	5.66
April	86.60	7.33	6.72	0.06	0.15	1.06	1.18	2.52	5.85	1.27	6.62
May	56.10	3.67	6.57	0.04	0.16	1.20	1.19	2.76	5.87	1.25	6.24
June	43.20	4.00	6.61	0.12	0.16	1.19	1.21	2.59	5.88	1.24	6.42
July	81.20	7.00	6.71	0.06	0.16	1.25	1.19	2.51	5.90	1.26	6.36
Aug.	51.10	10.67	6.52	0.03	0.16	1.05	1.20	2.49	6.07	1.29	6.42
Sept.	32.10	7.00	6.58	0.01	0.14	1.03	1.19	2.25	5.89	1.27	6.62
